Unified Code Counter - U.S. Government Edition (UCC-G)
(c) Copyright 2015 - 2017 United States Government

SLOC COUNT RESULTS
Generated by USC CSSE Unified Code Counter - Java (UCC-J) 2018.05 (Based on UCC-G v.1.1.1) on 10/28/2023
UCC-G -dir src/main/java/com/utfpr/ 

Counting rules based on JAVA Version: Java 8

RESULTS FOR JAVA FILES

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
152,39,0,0,1,11,70,82,113,CODE,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
29,6,0,0,1,1,16,18,23,CODE,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\Main.java
80,26,0,0,4,10,31,45,54,CODE,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java

RESULTS SUMMARY

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
261,71,0,0,6,22,162,190,CODE,Physical
261,71,0,0,6,22,117,145,CODE,Logical

Number of files successfully accessed,3,out of,3

Ratio of Physical to Logical SLOC,1,31

TOTAL OCCURRENCES OF JAVA KEYWORDS
Compiler Directives,,Data Keywords,,Executable Keywords
package,3,LinkedHashMap,0,continue,0
import,3,implements,0,finally,0
,,LinkedList,0,default,0
,,ArrayList,0,throws,0
,,interface,0,return,14
,,protected,0,switch,0
,,abstract,0,break,0
,,operator,0,throw,3
,,template,0,catch,0
,,volatile,0,super,0
,,boolean,1,while,5
,,extends,0,this,12
,,HashMap,0,case,0
,,HashSet,0,else,2
,,private,13,try,0
,,TreeMap,0,new,13
,,double,10,for,4
,,native,0,do,0
,,public,26,if,4
,,static,2,,
,,String,1,,
,,Vector,0,,
,,class,5,,
,,const,0,,
,,final,2,,
,,float,0,,
,,short,0,,
,,byte,0,,
,,char,0,,
,,enum,0,,
,,long,0,,
,,void,6,,
,,int,42,,
