Unified Code Counter - U.S. Government Edition (UCC-G)
(c) Copyright 2015 - 2017 United States Government

COMPLEXITY COUNT RESULTS
Generated by USC CSSE Unified Code Counter - Java (UCC-J) 2018.05 (Based on UCC-G v.1.1.1) on 10/28/2023
UCC-G -dir src/main/java/com/utfpr/ 

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,Language,File Name
0,0,0,4,9,9,1,21,0,3,0,JAVA,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
0,0,0,3,2,2,1,5,0,1,1,JAVA,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\Main.java
0,0,0,4,4,4,4,28,0,3,1,JAVA,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java

Totals
0,0,0,11,15,15,6,54,0

TOTAL OCCURRENCES OF JAVA COMPLEXITY COUNTS
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
Math.decrementExact,0,Math.atan2,0,Math.log10,0,++,9,else if,0,==,2,package,3,=,54,,
Math.incrementExact,0,Math.acos,0,Math.log1p,0,--,0,switch,0,!=,4,import,3,,,,
Math.IEEEremainder,0,Math.asin,0,Math.log,0,//,0,while,5,<=,0,,,,,,
Math.multiplyExact,0,Math.atan,0,,,>>,0,else,2,>=,1,,,,,,
Math.subtractExact,0,Math.cosh,0,,,<<,0,case,0,&&,1,,,,,,
Math.getExponent,0,Math.sinh,0,,,%,0,for,4,||,0,,,,,,
Math.negateExact,0,Math.tanh,0,,,^,0,if,4,<,7,,,,,,
Math.toIntExact,0,Math.cos,0,,,+,1,,,>,0,,,,,,
Math.nextAfter,0,Math.sin,0,,,-,1,,,!,0,,,,,,
Math.toRadians,0,Math.tan,0,,,*,0,,,,,,,,,,
Math.toDegrees,0,,,,,,,,,,,,,,,,
Math.copySign,0,,,,,,,,,,,,,,,,
Math.addExact,0,,,,,,,,,,,,,,,,
Math.floorDiv,0,,,,,,,,,,,,,,,,
Math.floorMod,0,,,,,,,,,,,,,,,,
Math.nextDown,0,,,,,,,,,,,,,,,,
Math.nextUp,0,,,,,,,,,,,,,,,,
Math.random,0,,,,,,,,,,,,,,,,
Math.signum,0,,,,,,,,,,,,,,,,
Math.expm1,0,,,,,,,,,,,,,,,,
Math.floor,0,,,,,,,,,,,,,,,,
Math.hypot,0,,,,,,,,,,,,,,,,
Math.round,0,,,,,,,,,,,,,,,,
Math.scalb,0,,,,,,,,,,,,,,,,
Math.cbrt,0,,,,,,,,,,,,,,,,
Math.ceil,0,,,,,,,,,,,,,,,,
Math.rint,0,,,,,,,,,,,,,,,,
Math.sqrt,0,,,,,,,,,,,,,,,,
Math.abs,0,,,,,,,,,,,,,,,,
Math.exp,0,,,,,,,,,,,,,,,,
Math.max,0,,,,,,,,,,,,,,,,
Math.min,0,,,,,,,,,,,,,,,,
Math.pow,0,,,,,,,,,,,,,,,,
Math.ulp,0,,,,,,,,,,,,,,,,
Math.PI,0,,,,,,,,,,,,,,,,
Math.E,0,,,,,,,,,,,,,,,,
