Unified Code Counter - U.S. Government Edition (UCC-G)
(c) Copyright 2015 - 2017 United States Government

CYCLOMATIC COMPLEXITY RESULTS
Generated by USC CSSE Unified Code Counter - Java (UCC-J) 2018.05 (Based on UCC-G v.1.1.1) on 10/28/2023
UCC-G -dir src/main/java/com/utfpr/ 

RESULTS BY FILE

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
26,,,1,37,Low,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
4,,,2,00,Low,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\Main.java
8,,,2,00,Low,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java

38,,,,Totals,25 Functions in 3 File(s)
1,52,,,,Averages,8,33 Functions per File (Averages = Totals/Functions)

RESULTS BY FUNCTION

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,,,Low,public ListaEncadeada,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
3,,,Low,public void adicionarNo,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
2,,,Low,private static void validarPosicao,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
2,,,Low,public No obterNo,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public boolean listaVazia,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
3,,,Low,public No obterDado,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public void adicionarNoFinalLista,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
2,,,Low,public int tamanho,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public No,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public No getDado,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public int getLinhasAdicionadas,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public int getLinhasReutilizadas,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public int getLinhasModificadas,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public int getTempoDesenvolvimento,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public No getProximo,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public void setProximo,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public Cabeca,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public No getPrimeiro,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,public void setPrimeiro,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\ListaEncadeada.java
1,,,Low,private Main,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\Main.java
3,,,Low,public static void main,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\Main.java
1,,,Low,public RegressaoLinearMultipla,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java
2,,,Low,private double[][] extrairVariaveisDependentes,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java
2,,,Low,private double[][] extrairVariaveisIndependentes,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java
3,,,Low,public double[][] calcularMatrizX,C:\Users\mathe\Documents\a05_2171481\src\main\java\com\utfpr\RegressaoLinearMultipla.java

38,,,Totals,25 Functions,3 File(s)
1,52,,,Averages,8,33 Functions per File (Averages = Totals/Functions)
